"SYMBOL","Description"
"STAU1","staufen, RNA binding protein, homolog 1 (Drosophila)"
"AURKA","aurora kinase A"
"STK10","serine/threonine kinase 10"
"STK11","serine/threonine kinase 11"
"STX1A","syntaxin 1A (brain)"
"STX5","syntaxin 5"
"STXBP2","syntaxin binding protein 2"
"SULT2B1","sulfotransferase family, cytosolic, 2B, member 1"
"SUPT4H1","suppressor of Ty 4 homolog 1 (S. cerevisiae)"
"SUPT6H","suppressor of Ty 6 homolog (S. cerevisiae)"
"VAMP2","vesicle-associated membrane protein 2 (synaptobrevin 2)"
"BST2","bone marrow stromal cell antigen 2"
"SYK","spleen tyrosine kinase"
"SYPL1","synaptophysin-like 1"
"TAF4","TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa"
"TAF7","TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa"
"TAF10","TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa"
"TAF11","TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa"
"TAF12","TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa"
"MAP3K7","mitogen-activated protein kinase kinase kinase 7"
"KLF5","Kruppel-like factor 5 (intestinal)"
"TARBP1","TAR (HIV-1) RNA binding protein 1"
"TARBP2","TAR (HIV-1) RNA binding protein 2"
"BTF3","basic transcription factor 3"
"TBP","TATA box binding protein"
"TCEA2","transcription elongation factor A (SII), 2"
"ZEB1","zinc finger E-box binding homeobox 1"
"TCN2","transcobalamin II; macrocytic anemia"
"DYNLT3","dynein, light chain, Tctex-type 3"
"TERF1","telomeric repeat binding factor (NIMA-interacting) 1"
"TF","transferrin"
"BUB1B","BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)"
"TFAP2C","transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)"
"TFAP4","transcription factor AP-4 (activating enhancer binding protein 4)"
"TFRC","transferrin receptor (p90, CD71)"
"TG","thyroglobulin"
"TGFB1","transforming growth factor, beta 1"
"TGFBR2","transforming growth factor, beta receptor II (70/80kDa)"
"TGFBR3","transforming growth factor, beta receptor III"
"TGM1","transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)"
"THBS1","thrombospondin 1"
"THBS2","thrombospondin 2"
"BYSL","bystin-like"
"THY1","Thy-1 cell surface antigen"
"TIAM1","T-cell lymphoma invasion and metastasis 1"
"TIMP1","TIMP metallopeptidase inhibitor 1"
"TIMP4","TIMP metallopeptidase inhibitor 4"
"TK1","thymidine kinase 1, soluble"
"C1QBP","complement component 1, q subcomponent binding protein"
"TLR2","toll-like receptor 2"
"TLR3","toll-like receptor 3"
"TLR4","toll-like receptor 4"
"SERPING1","serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)"
"TNFRSF1A","tumor necrosis factor receptor superfamily, member 1A"
"TNS1","tensin 1"
"TP53","tumor protein p53 (Li-Fraumeni syndrome)"
"TP53BP2","tumor protein p53 binding protein, 2"
"TPD52L2","tumor protein D52-like 2"
"TPI1","triosephosphate isomerase 1"
"TPR","translocated promoter region (to activated MET oncogene)"
"HSP90B1","heat shock protein 90kDa beta (Grp94), member 1"
"TRAF2","TNF receptor-associated factor 2"
"TRAF3","TNF receptor-associated factor 3"
"C3","complement component 3"
"CCT3","chaperonin containing TCP1, subunit 3 (gamma)"
"TRIP6","thyroid hormone receptor interactor 6"
"TRO","trophinin"
"C4BPA","complement component 4 binding protein, alpha"
"TSC1","tuberous sclerosis 1"
"TSC2","tuberous sclerosis 2"
"TSNAX","translin-associated factor X"
"PHLDA2","pleckstrin homology-like domain, family A, member 2"
"TTR","transthyretin (prealbumin, amyloidosis type I)"
"TUBA4A","tubulin, alpha 4a"
"TUFM","Tu translation elongation factor, mitochondrial"
"TULP2","tubby like protein 2"
"HIRA","HIR histone cell cycle regulation defective homolog A (S. cerevisiae)"
"TWIST1","twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)"
"CCR2","similar to C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD192 antigen)"
"TXN","thioredoxin"
"TYR","tyrosinase (oculocutaneous albinism IA)"
"TYROBP","TYRO protein tyrosine kinase binding protein"
"TYRP1","tyrosinase-related protein 1"
"UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1"
"UBA7","ubiquitin-activating enzyme E1-like"
"UBE2B","ubiquitin-conjugating enzyme E2B (RAD6 homolog)"
"UBE2D2","ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)"
"UBE2E1","ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)"
"UBE2I","ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)"
"UBE2N","ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)"
"SUMO1","SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)"
"UFD1","ubiquitin fusion degradation 1 like (yeast)"
"UGP2","UDP-glucose pyrophosphorylase 2"
"UMPS","uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5'-decarboxylase)"
"UPK3A","uroplakin 3A"
"UQCRC1","ubiquinol-cytochrome c reductase core protein I"
"UQCRC2","ubiquinol-cytochrome c reductase core protein II"
"UQCRFS1","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
"UQCRH","ubiquinol-cytochrome c reductase hinge protein"
"VASP","vasodilator-stimulated phosphoprotein"
"MRPL49","mitochondrial ribosomal protein L49"
"VBP1","von Hippel-Lindau binding protein 1"
"VCL","vinculin"
"VCP","valosin-containing protein"
"VRK1","vaccinia related kinase 1"
"VTN","vitronectin"
"VWF","von Willebrand factor"
"WAS","Wiskott-Aldrich syndrome (eczema-thrombocytopenia)"
"WNT3","wingless-type MMTV integration site family, member 3"
"WNT6","wingless-type MMTV integration site family, member 6"
"WRN","Werner syndrome"
"XBP1","X-box binding protein 1"
"XPA","xeroderma pigmentosum, complementation group A"
"XPC","xeroderma pigmentosum, complementation group C"
"XRCC5","X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining; Ku autoantigen, 80kDa)"
"YY1","YY1 transcription factor"
"YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide"
"YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
"ZAP70","zeta-chain (TCR) associated protein kinase 70kDa"
"SF1","splicing factor 1"
"ZFY","zinc finger protein, Y-linked"
"MZF1","myeloid zinc finger 1"
"CA1","carbonic anhydrase I"
"CA9","carbonic anhydrase IX"
"TRIM25","tripartite motif-containing 25"
"CA12","carbonic anhydrase XII"
"CACNA1D","calcium channel, voltage-dependent, L type, alpha 1D subunit"
"CACNA1F","calcium channel, voltage-dependent, L type, alpha 1F subunit"
"ZYX","zyxin"
"DAP3","death associated protein 3"
"CACNA2D1","calcium channel, voltage-dependent, alpha 2/delta subunit 1"
"CACNB2","calcium channel, voltage-dependent, beta 2 subunit"
"CACNB3","calcium channel, voltage-dependent, beta 3 subunit"
"CACNG1","calcium channel, voltage-dependent, gamma subunit 1"
"USP7","ubiquitin specific peptidase 7 (herpes virus-associated)"
"RAB7A","RAB7A, member RAS oncogene family"
"MRPL57","mitochondrial ribosomal protein 63"
"OTUB2","OTU domain, ubiquitin aldehyde binding 2"
"CENPM","centromere protein M"
"SECISBP2","SECIS binding protein 2"
"NOC4L","nucleolar complex associated 4 homolog (S. cerevisiae)"
"ASPSCR1","alveolar soft part sarcoma chromosome region, candidate 1"
"DCTPP1","XTP3-transactivated protein A"
"TRAPPC6A","trafficking protein particle complex 6A"
"CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
"DHX58","DEXH (Asp-Glu-X-His) box polypeptide 58"
"FA2H","fatty acid 2-hydroxylase"
"RBM42","RNA binding motif protein 42"
"BAG6","HLA-B associated transcript 3"
"PLA2G7","phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
"BIRC7","baculoviral IAP repeat-containing 7 (livin)"
"CDC73","cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"
"CHPF","chondroitin polymerizing factor"
"MRPL24","mitochondrial ribosomal protein L24"
"NAA16","NMDA receptor regulated 1-like"
"EFL1","elongation factor Tu GTP binding domain containing 1"
"PANK3","pantothenate kinase 3"
"USB1","chromosome 16 open reading frame 57"
"RPAP3","RNA polymerase II associated protein 3"
"ICE2","NMDA receptor regulated 2"
"PARP8","poly (ADP-ribose) polymerase family, member 8"
"CENPU","MLF1 interacting protein"
"TBL1XR1","transducin (beta)-like 1X-linked receptor 1"
"WDR59","WD repeat domain 59"
"LIN28A","lin-28 homolog (C. elegans)"
"PALB2","partner and localizer of BRCA2"
"E2F8","E2F transcription factor 8"
"TBC1D17","TBC1 domain family, member 17"
"ZFAND1","zinc finger, AN1-type domain 1"
"SNIP1","Smad nuclear interacting protein 1"
"ISOC2","isochorismatase domain containing 2"
"SHCBP1","SHC SH2-domain binding protein 1"
"PIP4K2C","phosphatidylinositol-5-phosphate 4-kinase, type II, gamma"
"ARHGEF5","Rho guanine nucleotide exchange factor (GEF) 5"
"CBLL1","Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1"
"LPCAT1","acyltransferase like 2"
"RIN3","Ras and Rab interactor 3"
"SETD6","SET domain containing 6"
"NOL10","nucleolar protein 10"
"DNAJB14","DnaJ (Hsp40) homolog, subfamily B, member 14"
"IFT56","tetratricopeptide repeat domain 26"
"RPF1","brix domain containing 5"
"MOGAT2","monoacylglycerol O-acyltransferase 2"
"MUS81","MUS81 endonuclease homolog (S. cerevisiae)"
"BRD3","bromodomain containing 3"
"MED28","mediator complex subunit 28"
"PNPLA3","patatin-like phospholipase domain containing 3"
"SHOC2","soc-2 suppressor of clear homolog (C. elegans)"
"THAP7","THAP domain containing 7"
"MLF2","myeloid leukemia factor 2"
"AAAS","achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)"
"CALM3","calmodulin 3 (phosphorylase kinase, delta)"
"TUBB1","tubulin, beta 1"
"ZBP1","Z-DNA binding protein 1"
"PABPN1","poly(A) binding protein, nuclear 1"
"CALR","calreticulin"
"RSPH6A","radial spokehead-like 1"
"SLC38A1","solute carrier family 38, member 1"
"NDEL1","nudE nuclear distribution gene E homolog (A. nidulans)-like 1"
"CLPB","ClpB caseinolytic peptidase B homolog (E. coli)"
"FIP1L1","FIP1 like 1 (S. cerevisiae)"
"CDT1","chromatin licensing and DNA replication factor 1"
"ISCA1","iron-sulfur cluster assembly 1 homolog (S. cerevisiae)"
"MADCAM1","mucosal vascular addressin cell adhesion molecule 1"
"SF3A2","splicing factor 3a, subunit 2, 66kDa"
"ELL","elongation factor RNA polymerase II"
"MED25","mediator complex subunit 25"
"SLIRP","chromosome 14 open reading frame 156"
"SYMPK","symplekin"
"SEH1L","SEH1-like (S. cerevisiae)"
"KIF18A","kinesin family member 18A"
"ACTN4","actinin, alpha 4"
"USP11","ubiquitin specific peptidase 11"
"CAPN2","calpain 2, (m/II) large subunit"
"UBL4A","ubiquitin-like 4A"
"KDM5D","jumonji, AT rich interactive domain 1D"
"ARID1A","AT rich interactive domain 1A (SWI-like)"
"H3-4","histone cluster 3, H3"
"TRRAP","transformation/transcription domain-associated protein"
"CAPZA1","capping protein (actin filament) muscle Z-line, alpha 1"
"PICALM","phosphatidylinositol binding clathrin assembly protein"
"CAPZA2","capping protein (actin filament) muscle Z-line, alpha 2"
"ACOX3","acyl-Coenzyme A oxidase 3, pristanoyl"
"AXIN1","axin 1"
"CAST","calpastatin"
"FZD7","frizzled homolog 7 (Drosophila)"
"GFI1B","growth factor independent 1B (potential regulator of CDKN1A, translocated in CML)"
"H2AC13","histone cluster 1, H2ai"
"H2AC17","histone cluster 1, H2am"
"CDCA3","cell division cycle associated 3"
"APH1B","anterior pharynx defective 1 homolog B (C. elegans)"
"H4C6","histone cluster 1, H4f"
"H4C2","histone cluster 1, H4b"
"CASP3","caspase 3, apoptosis-related cysteine peptidase"
"GRWD1","glutamate-rich WD repeat containing 1"
"CASP5","caspase 5, apoptosis-related cysteine peptidase"
"PIP5K1A","phosphatidylinositol-4-phosphate 5-kinase, type I, alpha"
"PIP5K1B","phosphatidylinositol-4-phosphate 5-kinase, type I, beta"
"NCALD","neurocalcin delta"
"PLA2G6","phospholipase A2, group VI (cytosolic, calcium-independent)"
"RBM48","hypothetical protein DKFZp564O0523"
"POLR1B","polymerase (RNA) I polypeptide B, 128kDa"
"BFSP2","beaded filament structural protein 2, phakinin"
"CASP8","caspase 8, apoptosis-related cysteine peptidase"
"RAD54L","RAD54-like (S. cerevisiae)"
"CASP10","caspase 10, apoptosis-related cysteine peptidase"
"GNPAT","glyceronephosphate O-acyltransferase"
"CUL3","cullin 3"
"MAK16","RNA binding motif protein 13"
"CUL1","cullin 1"
"MT4","metallothionein 4"
"SUPT3H","suppressor of Ty 3 homolog (S. cerevisiae)"
"CBX2","chromobox homolog 2 (Pc class homolog, Drosophila)"
"PCGF1","polycomb group ring finger 1"
"CAT","catalase"
"PKP4","plakophilin 4"
"PIK3R3","phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)"
"NIPSNAP1","nipsnap homolog 1 (C. elegans)"
"IFITM1","interferon induced transmembrane protein 1 (9-27)"
"HAT1","histone acetyltransferase 1"
"CYP4F2","cytochrome P450, family 4, subfamily F, polypeptide 2"
"TRIM5","tripartite motif-containing 5"
"MICALL1","MICAL-like 1"
"APOL1","apolipoprotein L, 1"
"CDC14A","CDC14 cell division cycle 14 homolog A (S. cerevisiae)"
"DENR","density-regulated protein"
"CAV1","caveolin 1, caveolae protein, 22kDa"
"CAV2","caveolin 2"
"RUVBL1","RuvB-like 1 (E. coli)"
"PLPP2","phosphatidic acid phosphatase type 2C"
"RUNX1","runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)"
"CDK13","cell division cycle 2-like 5 (cholinesterase-related cell division controller)"
"OASL","2'-5'-oligoadenylate synthetase-like"
"AKR1C3","aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)"
"CHRD","chordin"
"EIF3A","eukaryotic translation initiation factor 3, subunit A"
"EIF3B","eukaryotic translation initiation factor 3, subunit B"
"EIF3D","eukaryotic translation initiation factor 3, subunit D"
"EIF3G","eukaryotic translation initiation factor 3, subunit G"
"EIF3I","eukaryotic translation initiation factor 3, subunit I"
"EIF3J","eukaryotic translation initiation factor 3, subunit J"
"VAMP4","vesicle-associated membrane protein 4"
"STX11","syntaxin 11"
"BECN1","beclin 1 (coiled-coil, myosin-like BCL2 interacting protein)"
"CBL","Cas-Br-M (murine) ecotropic retroviral transforming sequence"
"CBLB","Cas-Br-M (murine) ecotropic retroviral transforming sequence b"
"CBLN1","cerebellin 1 precursor"
"EDF1","endothelial differentiation-related factor 1"
"SNX4","sorting nexin 4"
"RIPK1","receptor (TNFRSF)-interacting serine-threonine kinase 1"
"TNFSF10","tumor necrosis factor (ligand) superfamily, member 10"
"ADAM9","ADAM metallopeptidase domain 9 (meltrin gamma)"
"CBS","cystathionine-beta-synthase"
"RAB11A","RAB11A, member RAS oncogene family"
"RIPK2","receptor-interacting serine-threonine kinase 2"
"FADD","Fas (TNFRSF6)-associated via death domain"
"NAPA","N-ethylmaleimide-sensitive factor attachment protein, alpha"
"DLK1","delta-like 1 homolog (Drosophila)"
"TNFRSF10B","tumor necrosis factor receptor superfamily, member 10b"
"PEX11A","peroxisomal biogenesis factor 11A"
"IL18R1","interleukin 18 receptor 1"
"DPM1","dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit"
"IQGAP1","IQ motif containing GTPase activating protein 1"
"CFLAR","CASP8 and FADD-like apoptosis regulator"
"ALKBH1","alkB, alkylation repair homolog 1 (E. coli)"
"VNN1","vanin 1"
"SQSTM1","sequestosome 1"
"CDC16","cell division cycle 16 homolog (S. cerevisiae)"
"DDX18","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18"
"EIF2S2","eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa"
"PRP4K","PRP4 pre-mRNA processing factor 4 homolog B (yeast)"
"CCNA1","cyclin A1"
"AP1G2","adaptor-related protein complex 1, gamma 2 subunit"
"CACNA1H","calcium channel, voltage-dependent, T type, alpha 1H subunit"
"CACNA1G","calcium channel, voltage-dependent, T type, alpha 1G subunit"
"CCNB1","cyclin B1"
"MBD2","methyl-CpG binding domain protein 2"
"SKAP2","src kinase associated phosphoprotein 2"
"P4HA2","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II"
"WASL","Wiskott-Aldrich syndrome-like"
"HSPB3","heat shock 27kDa protein 3"
"CCNE1","cyclin E1"
"PGLYRP1","peptidoglycan recognition protein 1"
"CCNF","cyclin F"
"SOCS3","suppressor of cytokine signaling 3"
"BAZ1B","bromodomain adjacent to zinc finger domain, 1B"
"CCRL2","chemokine (C-C motif) receptor-like 2"
"DCAF15","hypothetical protein BC002926"
"UBA3","ubiquitin-activating enzyme E1C (UBA3 homolog, yeast)"
"UBE2M","ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)"
"BTAF1","BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)"
"RPL14","ribosomal protein L14"
"DOK2","docking protein 2, 56kDa"
"CCNT1","cyclin T1"
"GPRC5A","G protein-coupled receptor, family C, group 5, member A"
"EIF1AY","eukaryotic translation initiation factor 1A, Y-linked"
"PKMYT1","protein kinase, membrane associated tyrosine/threonine 1"
"CCT6A","chaperonin containing TCP1, subunit 6A (zeta 1)"
"PIGQ","phosphatidylinositol glycan anchor biosynthesis, class Q"
"ADCK2","aarF domain containing kinase 2"
"NMI","N-myc (and STAT) interactor"
"ATP6V0D1","ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1"
"R3HDM4","chromosome 19 open reading frame 22"
"RRP9","RRP9, small subunit (SSU) processome component, homolog (yeast)"
"NEMF","serologically defined colon cancer antigen 1"
"RSAD2","radical S-adenosyl methionine domain containing 2"
"EXO1","exonuclease 1"
"CD3D","CD3d molecule, delta (CD3-TCR complex)"
"COX7A2L","cytochrome c oxidase subunit VIIa polypeptide 2 like"
"SCAF11","splicing factor, arginine/serine-rich 2, interacting protein"
"MYOM2","myomesin (M-protein) 2, 165kDa"
"ZW10","ZW10, kinetochore associated, homolog (Drosophila)"
"BUB3","BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)"
"CALML4","calmodulin-like 4"
"CD4","CD4 molecule"
"VAPA","VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa"
"PTTG1","pituitary tumor-transforming 1"
"UBE2L6","ubiquitin-conjugating enzyme E2L 6"
"GPR50","G protein-coupled receptor 50"
"CD7","CD7 molecule"
"CD8A","CD8a molecule"
"COPB2","coatomer protein complex, subunit beta 2 (beta prime)"
"MED14","mediator complex subunit 14"
"IMP4","IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)"
"CD9","CD9 molecule"
"CD19","CD19 molecule"
"COPS2","COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)"
"TRIP13","thyroid hormone receptor interactor 13"
"TRIP12","thyroid hormone receptor interactor 12"
"MS4A3","membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)"
"TGM5","transglutaminase 5"
"CD22","CD22 molecule"
"VAMP3","vesicle-associated membrane protein 3 (cellubrevin)"
"SNAP29","synaptosomal-associated protein, 29kDa"
"RPL23","ribosomal protein L23"
"TXNL1","thioredoxin-like 1"
"PPIG","peptidylprolyl isomerase G (cyclophilin G)"
"COX5A","cytochrome c oxidase subunit Va"
"OTOF","otoferlin"
"ATP5IF1","ATPase inhibitory factor 1"
"CD27","CD27 molecule"
"MED21","mediator complex subunit 21"
"DDX23","DEAD (Asp-Glu-Ala-Asp) box polypeptide 23"
"CD80","CD80 molecule"
"NTN1","netrin 1"
"MED23","mediator complex subunit 23"
"TNFRSF8","tumor necrosis factor receptor superfamily, member 8"
"MED17","mediator complex subunit 17"
"MED7","mediator complex subunit 7"
"QKI","quaking homolog, KH domain RNA binding (mouse)"
"AIM2","absent in melanoma 2"
"EIF2AK3","eukaryotic translation initiation factor 2-alpha kinase 3"
"ATG5","ATG5 autophagy related 5 homolog (S. cerevisiae)"
"CD34","CD34 molecule"
"STX8","syntaxin 8"
"PIGL","phosphatidylinositol glycan anchor biosynthesis, class L"
"PIGB","phosphatidylinositol glycan anchor biosynthesis, class B"
"SCARB1","scavenger receptor class B, member 1"
"PAGE4","P antigen family, member 4 (prostate associated)"
"ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif, 2"
"SCARB2","scavenger receptor class B, member 2"
"PMPCB","peptidase (mitochondrial processing) beta"
"SPTLC2","serine palmitoyltransferase, long chain base subunit 2"
"TBPL1","TBP-like 1"
"CD37","CD37 molecule"
"EEF1E1","eukaryotic translation elongation factor 1 epsilon 1"
"GOSR1","golgi SNAP receptor complex member 1"
"CD38","CD38 molecule"
"ATP6V1G1","ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1"
"ATP5MF","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2"
"MRPL33","mitochondrial ribosomal protein L33"
"GTPBP1","GTP binding protein 1"
"BABAM2","brain and reproductive organ-expressed (TNFRSF1A modulator)"
"ENTPD5","ectonucleoside triphosphate diphosphohydrolase 5"
"APOBEC3B","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"
"RBM39","RNA binding motif protein 39"
"KIF20B","M-phase phosphoprotein 1"
"CREB5","cAMP responsive element binding protein 5"
"CD40","CD40 molecule, TNF receptor superfamily member 5"
"IER2","immediate early response 2"
"NFE2L3","nuclear factor (erythroid-derived 2)-like 3"
"NCOR1","nuclear receptor co-repressor 1"
"NUP155","nucleoporin 155kDa"
"CTR9","Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"
"EIF5B","eukaryotic translation initiation factor 5B"
"KDM4A","jumonji domain containing 2A"
"CLINT1","clathrin interactor 1"
"NUP93","nucleoporin 93kDa"
"CD68","CD68 molecule"
"EMC2","tetratricopeptide repeat domain 35"
"TRAM2","translocation associated membrane protein 2"
"CD69","CD69 molecule"
"ESPL1","extra spindle pole bodies homolog 1 (S. cerevisiae)"
"AQR","aquarius homolog (mouse)"
"CD74","CD74 molecule, major histocompatibility complex, class II invariant chain"
"DOCK4","dedicator of cytokinesis 4"
"KNTC1","kinetochore associated 1"
"USP34","ubiquitin specific peptidase 34"
"CD79A","CD79a molecule, immunoglobulin-associated alpha"
"LAPTM4A","lysosomal-associated protein transmembrane 4 alpha"
"ACAP1","centaurin, beta 1"
"HDAC4","histone deacetylase 4"
"CD81","CD81 molecule"
"ZFYVE16","zinc finger, FYVE domain containing 16"
"MATR3","matrin 3"
"DHX38","DEAH (Asp-Glu-Ala-His) box polypeptide 38"
"MRPL19","mitochondrial ribosomal protein L19"
"KEAP1","kelch-like ECH-associated protein 1"
"RB1CC1","RB1-inducible coiled-coil 1"
"ARHGAP11A","Rho GTPase activating protein 11A"
"ELMO1","engulfment and cell motility 1"
"CEP170","centrosomal protein 170kDa"
"TOMM70","translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)"
"FCHSD2","FCH and double SH3 domains 2"
"CDC5L","CDC5 cell division cycle 5-like (S. pombe)"
"SNAP91","synaptosomal-associated protein, 91kDa homolog (mouse)"
"CDC6","cell division cycle 6 homolog (S. cerevisiae)"
"JOSD1","Josephin domain containing 1"
"P2RY14","purinergic receptor P2Y, G-protein coupled, 14"
"CD302","CD302 molecule"
"CDC25A","cell division cycle 25 homolog A (S. pombe)"
"XYLB","xylulokinase homolog (H. influenzae)"
"CDC25B","cell division cycle 25 homolog B (S. pombe)"
"GOLGA5","golgi autoantigen, golgin subfamily a, 5"
"HS3ST1","heparan sulfate (glucosamine) 3-O-sulfotransferase 1"
"CDC25C","cell division cycle 25 homolog C (S. pombe)"
"RBX1","ring-box 1"
"CDC34","cell division cycle 34 homolog (S. cerevisiae)"
"THOC1","THO complex 1"
"CDH1","cadherin 1, type 1, E-cadherin (epithelial)"
