"SYMBOL","ENTREZID","Description"
"SENP5",205564,"SUMO1/sentrin specific peptidase 5"
"CLN8",2055,"ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)"
"EPO",2056,"erythropoietin"
"EPOR",2057,"erythropoietin receptor"
"EPRS1",2058,"glutamyl-prolyl-tRNA synthetase"
"EPS8",2059,"epidermal growth factor receptor pathway substrate 8"
"EPS15",2060,"epidermal growth factor receptor pathway substrate 15"
"SLC36A1",206358,"solute carrier family 36 (proton/amino acid symporter), member 1"
"NR2F6",2063,"nuclear receptor subfamily 2, group F, member 6"
"ERBB2",2064,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"
"ERBB3",2065,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)"
"ERBB4",2066,"v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)"
"ERCC1",2067,"excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)"
"ERCC2",2068,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)"
"EREG",2069,"epiregulin"
"EYA4",2070,"eyes absent homolog 4 (Drosophila)"
"ERCC3",2071,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"
"ERCC4",2072,"excision repair cross-complementing rodent repair deficiency, complementation group 4"
"ERCC5",2073,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))"
"ERCC6",2074,"excision repair cross-complementing rodent repair deficiency, complementation group 6"
"ERF",2077,"Ets2 repressor factor"
"ERG",2078,"v-ets erythroblastosis virus E26 oncogene homolog (avian)"
"ERH",2079,"enhancer of rudimentary homolog (Drosophila)"
"AKT1",207,"v-akt murine thymoma viral oncogene homolog 1"
"ERN1",2081,"endoplasmic reticulum to nucleus signaling 1"
"AKT2",208,"v-akt murine thymoma viral oncogene homolog 2"
"FBL",2091,"fibrillarin"
"ESD",2098,"esterase D/formylglutathione hydrolase"
"ESR1",2099,"estrogen receptor 1"
"ABCA2",20,"ATP-binding cassette, sub-family A (ABC1), member 2"
"ESR2",2100,"estrogen receptor 2 (ER beta)"
"ESRRA",2101,"estrogen-related receptor alpha"
"ESRRG",2104,"estrogen-related receptor gamma"
"ETF1",2107,"eukaryotic translation termination factor 1"
"ETFA",2108,"electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)"
"ETFB",2109,"electron-transfer-flavoprotein, beta polypeptide"
"ALAD",210,"aminolevulinate, delta-, dehydratase"
"ETFDH",2110,"electron-transferring-flavoprotein dehydrogenase"
"ETS1",2113,"v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)"
"ETS2",2114,"v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)"
"ETV1",2115,"ets variant gene 1"
"ETV2",2116,"ets variant gene 2"
"ETV4",2118,"ets variant gene 4 (E1A enhancer binding protein, E1AF)"
"ETV5",2119,"ets variant gene 5 (ets-related molecule)"
"ALAS1",211,"aminolevulinate, delta-, synthase 1"
"ETV6",2120,"ets variant gene 6 (TEL oncogene)"
"EVC",2121,"Ellis van Creveld syndrome"
"MECOM",2122,"ecotropic viral integration site 1"
"EVI2A",2123,"ecotropic viral integration site 2A"
"EVI2B",2124,"ecotropic viral integration site 2B"
"EVPL",2125,"envoplakin"
"EVX1",2128,"even-skipped homeobox 1"
"ALAS2",212,"aminolevulinate, delta-, synthase 2 (sideroblastic/hypochromic anemia)"
"EWSR1",2130,"Ewing sarcoma breakpoint region 1"
"EXT1",2131,"exostoses (multiple) 1"
"EXT2",2132,"exostoses (multiple) 2"
"EXTL1",2134,"exostoses (multiple)-like 1"
"EXTL2",2135,"exostoses (multiple)-like 2"
"EXTL3",2137,"exostoses (multiple)-like 3"
"EYA1",2138,"eyes absent homolog 1 (Drosophila)"
"EYA2",2139,"eyes absent homolog 2 (Drosophila)"
"ALB",213,"albumin"
"EYA3",2140,"eyes absent homolog 3 (Drosophila)"
"EZH1",2145,"enhancer of zeste homolog 1 (Drosophila)"
"EZH2",2146,"enhancer of zeste homolog 2 (Drosophila)"
"F2",2147,"coagulation factor II (thrombin)"
"F2R",2149,"coagulation factor II (thrombin) receptor"
"ALCAM",214,"activated leukocyte cell adhesion molecule"
"F2RL1",2150,"coagulation factor II (thrombin) receptor-like 1"
"F2RL2",2151,"coagulation factor II (thrombin) receptor-like 2"
"F3",2152,"coagulation factor III (thromboplastin, tissue factor)"
"F5",2153,"coagulation factor V (proaccelerin, labile factor)"
"F7",2155,"coagulation factor VII (serum prothrombin conversion accelerator)"
"F8",2157,"coagulation factor VIII, procoagulant component (hemophilia A)"
"F9",2158,"coagulation factor IX (plasma thromboplastic component, Christmas disease, hemophilia B)"
"F10",2159,"coagulation factor X"
"ABCD1",215,"ATP-binding cassette, sub-family D (ALD), member 1"
"F11",2160,"coagulation factor XI (plasma thromboplastin antecedent)"
"F12",2161,"coagulation factor XII (Hageman factor)"
"F13A1",2162,"coagulation factor XIII, A1 polypeptide"
"F13B",2165,"coagulation factor XIII, B polypeptide"
"FAAH",2166,"fatty acid amide hydrolase"
"FABP4",2167,"fatty acid binding protein 4, adipocyte"
"FABP1",2168,"fatty acid binding protein 1, liver"
"FABP2",2169,"fatty acid binding protein 2, intestinal"
"ALDH1A1",216,"aldehyde dehydrogenase 1 family, member A1"
"FABP3",2170,"fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)"
"FABP6",2172,"fatty acid binding protein 6, ileal (gastrotropin)"
"FABP7",2173,"fatty acid binding protein 7, brain"
"FANCA",2175,"Fanconi anemia, complementation group A"
"FANCC",2176,"Fanconi anemia, complementation group C"
"FANCE",2178,"Fanconi anemia, complementation group E"
"ALDH2",217,"aldehyde dehydrogenase 2 family (mitochondrial)"
"ACSL1",2180,"acyl-CoA synthetase long-chain family member 1"
"ACSL3",2181,"acyl-CoA synthetase long-chain family member 3"
"ACSL4",2182,"acyl-CoA synthetase long-chain family member 4"
"FAH",2184,"fumarylacetoacetate hydrolase (fumarylacetoacetase)"
"PTK2B",2185,"PTK2B protein tyrosine kinase 2 beta"
"BPTF",2186,"bromodomain PHD finger transcription factor"
"FANCF",2188,"Fanconi anemia, complementation group F"
"FANCG",2189,"Fanconi anemia, complementation group G"
"ALDH3A1",218,"aldehyde dehydrogenase 3 family, memberA1"
"FAP",2191,"fibroblast activation protein, alpha"
"FBLN1",2192,"fibulin 1"
"USP12",219333,"ubiquitin specific peptidase 12"
"FARSA",2193,"phenylalanyl-tRNA synthetase, alpha subunit"
"FASN",2194,"fatty acid synthase"
"FAT1",2195,"FAT tumor suppressor homolog 1 (Drosophila)"
"FAT2",2196,"FAT tumor suppressor homolog 2 (Drosophila)"
"FAU",2197,"Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed"
"FBLN2",2199,"fibulin 2"
"ALDH1B1",219,"aldehyde dehydrogenase 1 family, member B1"
"ABCA3",21,"ATP-binding cassette, sub-family A (ABC1), member 3"
"FBN1",2200,"fibrillin 1"
"SKA1",220134,"chromosome 18 open reading frame 24"
"FBN2",2201,"fibrillin 2 (congenital contractural arachnodactyly)"
"EFEMP1",2202,"EGF-containing fibulin-like extracellular matrix protein 1"
"FBP1",2203,"fructose-1,6-bisphosphatase 1"
"FCAR",2204,"Fc fragment of IgA, receptor for"
"FCER1A",2205,"Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide"
"MS4A2",2206,"membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)"
"FCER1G",2207,"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide"
"FCER2",2208,"Fc fragment of IgE, low affinity II, receptor for (CD23)"
"ALDH1A3",220,"aldehyde dehydrogenase 1 family, member A3"
"JMJD1C",221037,"jumonji domain containing 1C"
"HNRNPUL2",221092,"heterogeneous nuclear ribonucleoprotein U-like 2"
"MICU2",221154,"EF-hand domain family, member A1"
"ADGRF5",221395,"G protein-coupled receptor 116"
"FCGR2B",2213,"Fc fragment of IgG, low affinity IIb, receptor (CD32)"
"OARD1",221443,"chromosome 6 open reading frame 130"
"FCGR3B",2215,"Fc fragment of IgG, low affinity IIIb, receptor (CD16b)"
"PHACTR1",221692,"phosphatase and actin regulator 1"
"PXDC1",221749,"chromosome 6 open reading frame 145"
"FCGRT",2217,"Fc fragment of IgG, receptor, transporter, alpha"
"PRPS1L1",221823,"phosphoribosyl pyrophosphate synthetase 1-like 1"
"POLR1F",221830,"TWIST neighbor"
"FKTN",2218,"Fukuyama type congenital muscular dystrophy (fukutin)"
"THSD7A",221981,"thrombospondin, type I, domain containing 7A"
"FCN1",2219,"ficolin (collagen/fibrinogen domain containing) 1"
"ALDH3B1",221,"aldehyde dehydrogenase 3 family, member B1"
"FCN2",2220,"ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)"
"ATXN7L1",222255,"ataxin 7-like 1"
"FDFT1",2222,"farnesyl-diphosphate farnesyltransferase 1"
"ADGRG3",222487,"G protein-coupled receptor 97"
"FDPS",2224,"farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)"
"TSPO2",222642,"benzodiazapine receptor (peripheral)-like 1"
"ALDH3B2",222,"aldehyde dehydrogenase 3 family, member B2"
"FDX1",2230,"ferredoxin 1"
"SEMA3D",223117,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D"
"FDXR",2232,"ferredoxin reductase"
"FECH",2235,"ferrochelatase (protoporphyria)"
"FEN1",2237,"flap structure-specific endonuclease 1"
"GPC4",2239,"glypican 4"
"ALDH9A1",223,"aldehyde dehydrogenase 9 family, member A1"
"FER",2241,"fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)"
"FES",2242,"feline sarcoma oncogene"
"FGA",2243,"fibrinogen alpha chain"
"FGB",2244,"fibrinogen beta chain"
"FGD1",2245,"FYVE, RhoGEF and PH domain containing 1 (faciogenital dysplasia)"
"FGF1",2246,"fibroblast growth factor 1 (acidic)"
"FGF2",2247,"fibroblast growth factor 2 (basic)"
"FGF3",2248,"fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)"
"ALDH3A2",224,"aldehyde dehydrogenase 3 family, member A2"
"FGF5",2250,"fibroblast growth factor 5"
"FGF6",2251,"fibroblast growth factor 6"
"FGF7",2252,"fibroblast growth factor 7 (keratinocyte growth factor)"
"FGF8",2253,"fibroblast growth factor 8 (androgen-induced)"
"FGF9",2254,"fibroblast growth factor 9 (glia-activating factor)"
"FGF12",2257,"fibroblast growth factor 12"
"FGF13",2258,"fibroblast growth factor 13"
"FGF14",2259,"fibroblast growth factor 14"
"ABCD2",225,"ATP-binding cassette, sub-family D (ALD), member 2"
"FGFR1",2260,"fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)"
"FGFR3",2261,"fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)"
"GPC5",2262,"glypican 5"
"FGFR2",2263,"fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)"
"FGFR4",2264,"fibroblast growth factor receptor 4"
"FGG",2266,"fibrinogen gamma chain"
"FGL1",2267,"fibrinogen-like 1"
"FGR",2268,"Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog"
"ALDOA",226,"aldolase A, fructose-bisphosphate"
"FH",2271,"fumarate hydratase"
"FHIT",2272,"fragile histidine triad gene"
"FHL1",2273,"four and a half LIM domains 1"
"FHL2",2274,"four and a half LIM domains 2"
"FHL3",2275,"four and a half LIM domains 3"
"VEGFD",2277,"c-fos induced growth factor (vascular endothelial growth factor D)"
"CASC3",22794,"cancer susceptibility candidate 3"
"NID2",22795,"nidogen 2 (osteonidogen)"
"COG2",22796,"component of oligomeric golgi complex 2"
"TFEC",22797,"transcription factor EC"
"LAMB4",22798,"laminin, beta 4"
"RRAS2",22800,"related RAS viral (r-ras) oncogene homolog 2"
"CLCA4",22802,"chloride channel, calcium activated, family member 4"
"IKZF3",22806,"IKAROS family zinc finger 3 (Aiolos)"
"IKZF2",22807,"IKAROS family zinc finger 2 (Helios)"
"MRAS",22808,"muscle RAS oncogene homolog"
"ATF5",22809,"activating transcription factor 5"
"FKBP1A",2280,"FK506 binding protein 1A, 12kDa"
"COPZ1",22818,"coatomer protein complex, subunit zeta 1"
"FKBP1B",2281,"FK506 binding protein 1B, 12.6 kDa"
"COPG1",22820,"coatomer protein complex, subunit gamma"
"RASA3",22821,"RAS p21 protein activator 3"
"PHLDA1",22822,"pleckstrin homology-like domain, family A, member 1"
"MTF2",22823,"metal response element binding transcription factor 2"
"HSPA4L",22824,"heat shock 70kDa protein 4-like"
"DNAJC8",22826,"DnaJ (Hsp40) homolog, subfamily C, member 8"
"PUF60",22827,"poly-U binding splicing factor 60KDa"
"SCAF8",22828,"RNA binding motif protein 16"
"NLGN4Y",22829,"neuroligin 4, Y-linked"
"CEP162",22832,"KIAA1009"
"ZNF652",22834,"zinc finger protein 652"
"RHOBTB3",22836,"Rho-related BTB domain containing 3"
"COBLL1",22837,"COBL-like 1"
"DLGAP4",22839,"discs, large (Drosophila) homolog-associated protein 4"
"RAB11FIP2",22841,"RAB11 family interacting protein 2 (class I)"
"PPM1E",22843,"protein phosphatase 1E (PP2C domain containing)"
"FRMPD1",22844,"FERM and PDZ domain containing 1"
"DOLK",22845,"dolichol kinase"
"VASH1",22846,"vasohibin 1"
"AAK1",22848,"AP2 associated kinase 1"
"CPEB3",22849,"cytoplasmic polyadenylation element binding protein 3"
"ADNP2",22850,"ADNP homeobox 2"
"LMTK2",22853,"lemur tyrosine kinase 2"
"CHSY1",22856,"carbohydrate (chondroitin) synthase 1"
"CILK1",22858,"intestinal cell (MAK-like) kinase"
"ADGRL1",22859,"latrophilin 1"
"NLRP1",22861,"NLR family, pyrin domain containing 1"
"FNDC3A",22862,"fibronectin type III domain containing 3A"
"ATG14",22863,"KIAA0831"
"SLITRK3",22865,"SLIT and NTRK-like family, member 3"
"FASTKD2",22868,"FAST kinase domains 2"
"FKBP2",2286,"FK506 binding protein 2, 13kDa"
"PPP6R1",22870,"SAPS domain family, member 1"
"NLGN1",22871,"neuroligin 1"
"SEC31A",22872,"SEC31 homolog A (S. cerevisiae)"
"DZIP1",22873,"DAZ interacting protein 1"
"ENPP4",22875,"ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)"
"INPP5F",22876,"inositol polyphosphate-5-phosphatase F"
"MLXIP",22877,"MLX interacting protein"
"TRAPPC8",22878,"KIAA1012"
"MON1B",22879,"MON1 homolog B (yeast)"
"FKBP3",2287,"FK506 binding protein 3, 25kDa"
"MORC2",22880,"MORC family CW-type zinc finger 2"
"ANKRD6",22881,"ankyrin repeat domain 6"
"ZHX2",22882,"zinc fingers and homeoboxes 2"
"CLSTN1",22883,"calsyntenin 1"
"WDR37",22884,"WD repeat domain 37"
"ABLIM3",22885,"actin binding LIM protein family, member 3"
"UBOX5",22888,"U-box domain containing 5"
"FKBP4",2288,"FK506 binding protein 4, 59kDa"
"ZNF365",22891,"zinc finger protein 365"
"BAHD1",22893,"bromo adjacent homology domain containing 1"
"DIS3",22894,"DIS3 mitotic control homolog (S. cerevisiae)"
"CEP164",22897,"centrosomal protein 164kDa"
"DENND3",22898,"DENN/MADD domain containing 3"
"ARHGEF15",22899,"Rho guanine nucleotide exchange factor (GEF) 15"
"FKBP5",2289,"FK506 binding protein 5"
"CARD8",22900,"caspase recruitment domain family, member 8"
"RUFY3",22902,"RUN and FYVE domain containing 3"
"EPN2",22905,"epsin 2"
"TRAK1",22906,"trafficking protein, kinesin binding 1"
"DHX30",22907,"DEAH (Asp-Glu-Ala-His) box polypeptide 30"
"FAN1",22909,"myotubularin related protein 15"
"FOXG1",2290,"forkhead box G1"
"WDR47",22911,"WD repeat domain 47"
"RALY",22913,"RNA binding protein, autoantigenic (hnRNP-associated with lethal yellow homolog (mouse))"
"KLRK1",22914,"killer cell lectin-like receptor subfamily K, member 1"
"MMRN1",22915,"multimerin 1"
"NCBP2",22916,"nuclear cap binding protein subunit 2, 20kDa"
"CD93",22918,"CD93 molecule"
"MAPRE1",22919,"microtubule-associated protein, RP/EB family, member 1"
"KIFAP3",22920,"kinesin-associated protein 3"
"MSRB2",22921,"methionine sulfoxide reductase B2"
"MAPRE3",22924,"microtubule-associated protein, RP/EB family, member 3"
"PLA2R1",22925,"phospholipase A2 receptor 1, 180kDa"
"ATF6",22926,"activating transcription factor 6"
"HABP4",22927,"hyaluronan binding protein 4"
"SEPHS2",22928,"selenophosphate synthetase 2"
"SEPHS1",22929,"selenophosphate synthetase 1"
"RAB3GAP1",22930,"RAB3 GTPase activating protein subunit 1 (catalytic)"
"SIRT2",22933,"sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)"
"RPIA",22934,"ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)"
"ELL2",22936,"elongation factor, RNA polymerase II, 2"
"SCAP",22937,"SREBF chaperone"
"SNW1",22938,"SNW domain containing 1"
"SHANK2",22941,"SH3 and multiple ankyrin repeat domains 2"
"DKK1",22943,"dickkopf homolog 1 (Xenopus laevis)"
"KIN",22944,"KIN, antigenic determinant of recA protein homolog (mouse)"
"CCT5",22948,"chaperonin containing TCP1, subunit 5 (epsilon)"
"FOXF1",2294,"forkhead box F1"
"P2RX2",22953,"purinergic receptor P2X, ligand-gated ion channel, 2"
"TRIM32",22954,"tripartite motif-containing 32"
"SCMH1",22955,"sex comb on midleg homolog 1 (Drosophila)"
"FOXF2",2295,"forkhead box F2"
"TPX2",22974,"TPX2, microtubule-associated, homolog (Xenopus laevis)"
"PAXIP1",22976,"PAX interacting (with transcription-activation domain) protein 1"
"AKR7A3",22977,"aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)"
"NT5C2",22978,"5'-nucleotidase, cytosolic II"
"FOXD1",2297,"forkhead box D1"
"TCF25",22980,"transcription factor 25 (basic helix-loop-helix)"
"NINL",22981,"ninein-like"
"DIP2C",22982,"DIP2 disco-interacting protein 2 homolog C (Drosophila)"
"MAST1",22983,"microtubule associated serine/threonine kinase 1"
"PDCD11",22984,"programmed cell death 11"
"ACIN1",22985,"apoptotic chromatin condensation inducer 1"
"SORCS3",22986,"sortilin-related VPS10 domain containing receptor 3"
"MYH15",22989,"myosin, heavy chain 15"
"KDM2A",22992,"F-box and leucine-rich repeat protein 11"
"CEP131",22994,"5-azacytidine induced 1"
"CEP152",22995,"centrosomal protein 152kDa"
"RIMS1",22999,"regulating synaptic membrane exocytosis 1"
"FOXI1",2299,"forkhead box I1"
"ALDOB",229,"aldolase B, fructose-bisphosphate"
"ABCB7",22,"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
"WDFY3",23001,"WD repeat and FYVE domain containing 3"
"DAAM1",23002,"dishevelled associated activator of morphogenesis 1"
"PLCH1",23007,"phospholipase C, eta 1"
"KLHDC10",23008,"KIAA0265 protein"
"FOXL1",2300,"forkhead box L1"
"RAB21",23011,"RAB21, member RAS oncogene family"
"STK38L",23012,"serine/threonine kinase 38 like"
"SPEN",23013,"spen homolog, transcriptional regulator (Drosophila)"
"FBXO21",23014,"F-box protein 21"
"GOLGA8A",23015,"golgi autoantigen, golgin subfamily a, 8A"
"EXOSC7",23016,"exosome component 7"
"FAIM2",23017,"Fas apoptotic inhibitory molecule 2"
"CNOT1",23019,"CCR4-NOT transcription complex, subunit 1"
"FOXE3",2301,"forkhead box E3"
"SNRNP200",23020,"activating signal cointegrator 1 complex subunit 3-like 1"
"PALLD",23022,"palladin, cytoskeletal associated protein"
"TMCC1",23023,"transmembrane and coiled-coil domain family 1"
"PDZRN3",23024,"PDZ domain containing RING finger 3"
"UNC13A",23025,"unc-13 homolog A (C. elegans)"
"KDM1A",23028,"amine oxidase (flavin containing) domain 2"
"RBM34",23029,"RNA binding motif protein 34"
"FOXJ1",2302,"forkhead box J1"
"KDM4B",23030,"jumonji domain containing 2B"
"USP33",23032,"ubiquitin specific peptidase 33"
"DOP1A",23033,"dopey family member 1"
"SAMD4A",23034,"sterile alpha motif domain containing 4A"
"PHLPP2",23035,"PH domain and leucine rich repeat protein phosphatase-like"
"PDZD2",23037,"PDZ domain containing 2"
"WDTC1",23038,"WD and tetratricopeptide repeats 1"
"XPO7",23039,"exportin 7"
"FOXC2",2303,"forkhead box C2 (MFH-1, mesenchyme forkhead 1)"
"MYT1L",23040,"myelin transcription factor 1-like"
"MON2",23041,"MON2 homolog (S. cerevisiae)"
"PDXDC1",23042,"pyridoxal-dependent decarboxylase domain containing 1"
"TNIK",23043,"TRAF2 and NCK interacting kinase"
"KIF21B",23046,"kinesin family member 21B"
"PDS5B",23047,"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)"
"FNBP1",23048,"formin binding protein 1"
"SMG1",23049,"PI-3-kinase-related kinase SMG-1"
"FOXE1",2304,"forkhead box E1 (thyroid transcription factor 2)"
"ZHX3",23051,"zinc fingers and homeoboxes 3"
"ENDOD1",23052,"endonuclease domain containing 1"
"ZSWIM8",23053,"KIAA0913"
"NCOA6",23054,"nuclear receptor coactivator 6"
"NMNAT2",23057,"nicotinamide nucleotide adenylyltransferase 2"
"CLUAP1",23059,"clusterin associated protein 1"
"FOXM1",2305,"forkhead box M1"
"ZNF609",23060,"zinc finger protein 609"
"GGA2",23062,"golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"WAPL",23063,"wings apart-like homolog (Drosophila)"
"SETX",23064,"senataxin"
